timestamp,type,distance_cm,confidence,box_height_px
2026-03-23 21:06:29,HUMAN,209,0.748,569
2026-03-23 21:06:29,HUMAN,205,0.715,579
2026-03-23 21:06:29,HUMAN,201,0.817,592
2026-03-23 21:06:29,HUMAN,200,0.856,593
2026-03-23 21:06:29,HUMAN,198,0.866,598
2026-03-23 21:06:29,HUMAN,198,0.901,598
2026-03-23 21:06:29,HUMAN,198,0.898,599
2026-03-23 21:06:30,HUMAN,198,0.882,601
2026-03-23 21:06:30,HUMAN,197,0.896,602
2026-03-23 21:06:30,HUMAN,198,0.858,601
2026-03-23 21:06:30,HUMAN,198,0.888,600
2026-03-23 21:06:30,HUMAN,200,0.857,595
2026-03-23 21:06:30,HUMAN,200,0.861,594
2026-03-23 21:06:30,HUMAN,200,0.841,593
2026-03-23 21:06:30,HUMAN,201,0.866,591
2026-03-23 21:06:30,HUMAN,201,0.866,591
2026-03-23 21:06:30,HUMAN,200,0.883,594
2026-03-23 21:06:30,HUMAN,200,0.892,595
2026-03-23 21:06:30,HUMAN,200,0.892,595
2026-03-23 21:06:30,HUMAN,200,0.887,595
2026-03-23 21:06:30,HUMAN,200,0.891,595
2026-03-23 21:06:30,HUMAN,200,0.891,595
2026-03-23 21:06:30,HUMAN,200,0.895,595
2026-03-23 21:06:30,HUMAN,200,0.899,595
2026-03-23 21:06:31,HUMAN,200,0.897,595
2026-03-23 21:06:31,HUMAN,200,0.905,595
2026-03-23 21:06:31,HUMAN,200,0.905,595
2026-03-23 21:06:31,HUMAN,200,0.898,595
2026-03-23 21:06:31,HUMAN,200,0.894,595
2026-03-23 21:06:31,HUMAN,200,0.894,595
2026-03-23 21:06:31,HUMAN,200,0.897,594
2026-03-23 21:06:31,HUMAN,200,0.877,595
2026-03-23 21:06:31,HUMAN,200,0.877,595
2026-03-23 21:06:31,HUMAN,199,0.878,596
2026-03-23 21:06:31,HUMAN,199,0.870,597
2026-03-23 21:06:31,HUMAN,198,0.861,598
2026-03-23 21:06:31,HUMAN,198,0.861,598
2026-03-23 21:06:31,HUMAN,201,0.869,592
