timestamp,type,distance_cm,confidence,box_height_px
2026-03-23T20:12:20.320581,HUMAN,198,0.893,598
2026-03-23T20:12:20.482344,HUMAN,211,0.851,563
2026-03-23T20:12:20.548046,HUMAN,202,0.890,587
2026-03-23T20:12:20.609124,HUMAN,201,0.878,592
2026-03-23T20:12:20.675751,HUMAN,200,0.895,594
2026-03-23T20:12:20.731377,HUMAN,199,0.914,597
2026-03-23T20:12:20.786406,HUMAN,198,0.913,598
2026-03-23T20:12:20.835237,HUMAN,200,0.890,595
2026-03-23T20:12:20.888983,HUMAN,200,0.890,595
2026-03-23T20:12:20.935544,HUMAN,201,0.904,591
2026-03-23T20:12:20.993158,HUMAN,200,0.916,593
2026-03-23T20:12:21.052605,HUMAN,200,0.916,593
2026-03-23T20:12:21.105210,HUMAN,202,0.895,588
2026-03-23T20:12:21.153246,HUMAN,202,0.910,589
2026-03-23T20:12:21.200665,HUMAN,202,0.910,589
2026-03-23T20:12:21.248130,HUMAN,204,0.896,583
2026-03-23T20:12:21.297168,HUMAN,203,0.900,584
2026-03-23T20:12:21.350653,HUMAN,201,0.908,592
2026-03-23T20:12:21.404317,HUMAN,200,0.905,593
2026-03-23T20:12:21.455211,HUMAN,200,0.894,595
2026-03-23T20:12:21.503273,HUMAN,200,0.901,594
2026-03-23T20:12:21.554444,HUMAN,200,0.901,594
2026-03-23T20:12:21.604004,HUMAN,200,0.913,595
2026-03-23T20:12:21.652197,HUMAN,200,0.913,595
2026-03-23T20:12:21.700870,HUMAN,200,0.910,594
2026-03-23T20:12:21.749875,HUMAN,200,0.915,593
2026-03-23T20:12:21.805474,HUMAN,200,0.915,593
2026-03-23T20:12:21.853167,HUMAN,201,0.917,592
2026-03-23T20:12:21.903340,HUMAN,203,0.905,585
2026-03-23T20:12:21.951197,HUMAN,204,0.916,583
2026-03-23T20:12:21.999515,HUMAN,206,0.905,576
2026-03-23T20:12:22.062383,HUMAN,208,0.933,571
2026-03-23T20:12:22.115037,HUMAN,213,0.944,557
2026-03-23T20:12:22.166050,HUMAN,215,0.945,552
2026-03-23T20:12:22.225324,HUMAN,215,0.948,552
2026-03-23T20:12:22.280259,HUMAN,215,0.947,551
2026-03-23T20:12:22.337772,HUMAN,215,0.947,551
2026-03-23T20:12:22.392838,HUMAN,215,0.944,553
2026-03-23T20:12:22.445655,HUMAN,216,0.947,550
2026-03-23T20:12:22.498867,HUMAN,216,0.951,550
2026-03-23T20:12:22.549902,HUMAN,216,0.945,549
2026-03-23T20:12:22.598406,HUMAN,216,0.945,549
2026-03-23T20:12:22.650104,HUMAN,216,0.951,549
2026-03-23T20:12:22.701590,HUMAN,216,0.949,549
2026-03-23T20:12:22.751612,HUMAN,217,0.946,548
2026-03-23T20:12:22.798523,HUMAN,217,0.949,548
2026-03-23T20:12:22.846267,HUMAN,215,0.948,551
2026-03-23T20:12:22.901699,HUMAN,217,0.945,548
2026-03-23T20:12:22.951607,HUMAN,216,0.950,549
2026-03-23T20:12:23.011404,HUMAN,216,0.951,549
2026-03-23T20:12:23.062864,HUMAN,217,0.945,548
2026-03-23T20:12:23.113033,HUMAN,217,0.945,548
2026-03-23T20:12:24.346653,HUMAN,216,0.949,550
2026-03-23T20:12:24.415967,HUMAN,216,0.949,550
2026-03-23T20:12:24.480135,HUMAN,216,0.952,550
2026-03-23T20:12:24.546984,HUMAN,216,0.953,549
2026-03-23T20:12:24.627088,HUMAN,216,0.953,549
2026-03-23T20:12:24.695802,HUMAN,216,0.949,550
2026-03-23T20:12:24.775289,HUMAN,216,0.949,550
2026-03-23T20:12:24.840984,HUMAN,215,0.948,551
2026-03-23T20:12:24.895798,HUMAN,215,0.948,551
2026-03-23T20:12:24.948028,HUMAN,214,0.949,554
2026-03-23T20:12:25.007253,HUMAN,214,0.949,554
2026-03-23T20:12:25.069741,HUMAN,215,0.949,553
